epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1472.04,0.90165,1.15669,1.00063,0.27405,0.132,0.10691,0.0754,1.19747,3.11158,1.16227,0.007162,0.007162,0.007162
45,1498.21,0.88297,1.11299,0.98533,0.25864,0.15705,0.13216,0.09557,1.14412,3.0101,1.15453,0.007096,0.007096,0.007096
46,1534.2,0.88435,1.04713,0.98173,0.29308,0.1759,0.13306,0.10261,1.13693,3.02532,1.15558,0.00703,0.00703,0.00703
47,1561.87,0.87869,1.05631,0.98985,0.3552,0.13353,0.11072,0.08408,1.17523,3.12829,1.17307,0.006964,0.006964,0.006964
48,1588.15,0.87001,1.03824,0.97716,0.32152,0.14673,0.10793,0.08241,1.15807,3.06821,1.16031,0.006898,0.006898,0.006898
49,1616.56,0.87485,1.05491,0.98123,0.22282,0.20064,0.13011,0.09919,1.16669,3.11508,1.1559,0.006832,0.006832,0.006832
50,1645.37,0.87097,1.02222,0.98801,0.33898,0.12837,0.12727,0.10044,1.17932,3.07248,1.18832,0.006766,0.006766,0.006766
51,1672.89,0.8484,0.95777,0.97569,0.40102,0.13457,0.11849,0.09193,1.14672,3.12047,1.16042,0.0067,0.0067,0.0067
52,1699.47,0.87016,0.96151,0.98021,0.36094,0.17079,0.13961,0.10103,1.17674,3.1335,1.16664,0.006634,0.006634,0.006634
53,1725.25,0.84252,0.96588,0.9687,0.48274,0.15044,0.13373,0.10858,1.14036,3.08243,1.14592,0.006568,0.006568,0.006568
54,1760.86,0.83705,0.93917,0.96863,0.30857,0.19456,0.1375,0.10535,1.14379,3.07932,1.15029,0.006502,0.006502,0.006502
55,1787.97,0.84406,0.92714,0.96077,0.3514,0.13997,0.12142,0.0941,1.18364,3.24693,1.18169,0.006436,0.006436,0.006436
56,1814.4,0.83184,0.90458,0.96675,0.1666,0.17998,0.11018,0.08536,1.14582,3.15436,1.15446,0.00637,0.00637,0.00637
57,1842.71,0.84799,0.91408,0.96735,0.17965,0.18184,0.12062,0.09372,1.1402,3.14278,1.17242,0.006304,0.006304,0.006304
58,1869.39,0.81646,0.88054,0.96138,0.23557,0.16172,0.13003,0.10195,1.14329,3.18753,1.15172,0.006238,0.006238,0.006238
59,1896.31,0.84499,0.88416,0.96995,0.29265,0.16711,0.10998,0.08744,1.16009,3.16374,1.16541,0.006172,0.006172,0.006172
60,1922.3,0.82085,0.887,0.95255,0.38898,0.12217,0.1028,0.08191,1.14875,3.10294,1.1505,0.006106,0.006106,0.006106
61,1950.35,0.81247,0.86458,0.95858,0.2292,0.14483,0.09624,0.07302,1.15195,3.20122,1.15593,0.00604,0.00604,0.00604
62,1977.69,0.81982,0.86774,0.95667,0.27706,0.1771,0.11923,0.09153,1.1527,3.17477,1.16943,0.005974,0.005974,0.005974
63,2008.42,0.80372,0.84782,0.94362,0.28918,0.14194,0.10308,0.07523,1.17908,3.24347,1.16712,0.005908,0.005908,0.005908
64,2034.59,0.79207,0.82927,0.94353,0.36575,0.14533,0.13877,0.10929,1.148,3.07985,1.16137,0.005842,0.005842,0.005842
65,2060.79,0.81823,0.85148,0.95691,0.36464,0.14241,0.11863,0.09693,1.14682,3.21644,1.15361,0.005776,0.005776,0.005776
66,2091.42,0.78615,0.80881,0.95072,0.34587,0.09686,0.11363,0.09002,1.13001,3.2146,1.12839,0.00571,0.00571,0.00571
67,2127.04,0.78108,0.80363,0.94174,0.2892,0.13527,0.12154,0.10135,1.15762,3.26699,1.16673,0.005644,0.005644,0.005644
68,2153.2,0.77862,0.79336,0.94481,0.35588,0.12961,0.12449,0.0985,1.13037,3.21132,1.14378,0.005578,0.005578,0.005578
69,2191.62,0.78042,0.78769,0.94285,0.42159,0.12895,0.14203,0.09926,1.13073,3.14552,1.14418,0.005512,0.005512,0.005512
70,2228.4,0.76964,0.76744,0.93314,0.25614,0.18834,0.1341,0.10418,1.13192,3.08007,1.16709,0.005446,0.005446,0.005446
71,2268.92,0.7854,0.79128,0.94576,0.32371,0.14769,0.13015,0.10488,1.14616,3.21739,1.1649,0.00538,0.00538,0.00538
72,2296.28,0.75399,0.75805,0.93758,0.2732,0.16332,0.13373,0.10424,1.14576,3.21703,1.15596,0.005314,0.005314,0.005314
73,2322.85,0.76277,0.73548,0.93044,0.21671,0.1515,0.11436,0.09229,1.11095,3.20624,1.14653,0.005248,0.005248,0.005248
74,2351.9,0.72789,0.70679,0.9261,0.23121,0.1766,0.12512,0.10181,1.12745,3.21089,1.1349,0.005182,0.005182,0.005182
75,2377.43,0.7697,0.73171,0.93809,0.29335,0.14855,0.12206,0.09842,1.10191,3.23215,1.12961,0.005116,0.005116,0.005116
76,2404.86,0.76366,0.72552,0.93976,0.31459,0.15698,0.12682,0.10126,1.09958,3.19777,1.1399,0.00505,0.00505,0.00505
77,2431.23,0.76924,0.72125,0.93541,0.22297,0.19206,0.12492,0.10149,1.14436,3.20445,1.15789,0.004984,0.004984,0.004984
