epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1232.07,1.44225,2.08282,1.24652,0.28863,0.1545,0.12156,0.08002,1.52954,2.73276,1.24584,0.005743,0.005743,0.005743
45,1260.13,1.40453,2.03272,1.23405,0.31936,0.14243,0.10869,0.0683,1.57363,2.78929,1.26292,0.005644,0.005644,0.005644
46,1287.51,1.40949,2.02802,1.21833,0.37831,0.1321,0.1181,0.07321,1.54374,2.7215,1.24273,0.005545,0.005545,0.005545
47,1313.02,1.3809,2.02235,1.23732,0.40988,0.14843,0.14405,0.09882,1.40301,2.59484,1.20233,0.005446,0.005446,0.005446
48,1339.79,1.39877,2.03815,1.23478,0.44626,0.13509,0.13374,0.09003,1.42893,2.65813,1.22349,0.005347,0.005347,0.005347
49,1367.97,1.385,1.93734,1.21428,0.3984,0.1492,0.11659,0.0765,1.45206,2.66795,1.20828,0.005248,0.005248,0.005248
50,1395.33,1.39828,2.00111,1.22554,0.29014,0.18278,0.14061,0.09075,1.48199,2.64306,1.2337,0.005149,0.005149,0.005149
51,1422.32,1.38733,1.95508,1.22712,0.37007,0.11819,0.11154,0.07114,1.46767,2.67069,1.22102,0.00505,0.00505,0.00505
52,1449.97,1.36449,1.89402,1.20724,0.28544,0.16138,0.11661,0.07537,1.40464,2.67682,1.20662,0.004951,0.004951,0.004951
53,1478.86,1.35672,1.8879,1.21062,0.377,0.16103,0.1397,0.09318,1.41832,2.62712,1.18749,0.004852,0.004852,0.004852
54,1507.49,1.33577,1.79706,1.1833,0.36981,0.14239,0.12704,0.08961,1.4094,2.74595,1.18948,0.004753,0.004753,0.004753
55,1531.29,1.35522,1.85394,1.19931,0.39583,0.12995,0.11386,0.07415,1.5187,2.72581,1.2238,0.004654,0.004654,0.004654
56,1558.66,1.34979,1.832,1.19665,0.2678,0.17421,0.1339,0.09196,1.38759,2.66127,1.1986,0.004555,0.004555,0.004555
57,1587.98,1.35826,1.83462,1.20894,0.38346,0.13027,0.12616,0.08143,1.47203,2.73686,1.22887,0.004456,0.004456,0.004456
58,1615.03,1.33328,1.7595,1.19333,0.40443,0.12885,0.12587,0.08497,1.38221,2.68564,1.1792,0.004357,0.004357,0.004357
59,1643.7,1.36275,1.80282,1.20815,0.4605,0.12677,0.1308,0.08622,1.40073,2.64417,1.19294,0.004258,0.004258,0.004258
60,1668.09,1.34743,1.77834,1.19524,0.42756,0.14218,0.12909,0.08992,1.31986,2.63165,1.15746,0.004159,0.004159,0.004159
61,1695.68,1.33411,1.78974,1.17581,0.33908,0.15941,0.12868,0.07957,1.52323,2.67014,1.22401,0.00406,0.00406,0.00406
62,1722.91,1.3316,1.72646,1.1894,0.3939,0.14047,0.11871,0.07698,1.42938,2.68553,1.21065,0.003961,0.003961,0.003961
63,1750.41,1.3134,1.66364,1.17169,0.31222,0.16591,0.14064,0.09361,1.42897,2.69426,1.20165,0.003862,0.003862,0.003862
64,1775.28,1.30281,1.65776,1.17809,0.31078,0.1665,0.12612,0.08445,1.31798,2.62493,1.1576,0.003763,0.003763,0.003763
65,1802.88,1.3173,1.70109,1.18311,0.42438,0.13245,0.13211,0.0894,1.36967,2.64946,1.18102,0.003664,0.003664,0.003664
66,1830.86,1.30496,1.65534,1.17127,0.18677,0.20552,0.15031,0.10284,1.42107,2.67653,1.1969,0.003565,0.003565,0.003565
67,1859.32,1.31312,1.62146,1.18249,0.33209,0.14083,0.13008,0.08753,1.35265,2.6608,1.17651,0.003466,0.003466,0.003466
68,1883.76,1.25496,1.53495,1.14601,0.39205,0.17225,0.14001,0.09453,1.37215,2.66557,1.17513,0.003367,0.003367,0.003367
69,1912.01,1.2797,1.6009,1.15101,0.27083,0.17418,0.13139,0.09009,1.29607,2.71622,1.15546,0.003268,0.003268,0.003268
70,1939.59,1.2668,1.56664,1.14631,0.36932,0.16405,0.13553,0.09511,1.30928,2.63763,1.15218,0.003169,0.003169,0.003169
71,1966.49,1.28206,1.53736,1.14703,0.3925,0.1777,0.13772,0.09522,1.2969,2.62659,1.15,0.00307,0.00307,0.00307
72,1990.03,1.26997,1.56755,1.1748,0.50468,0.13553,0.13597,0.09083,1.31774,2.64597,1.16502,0.002971,0.002971,0.002971
73,2019.71,1.24804,1.52002,1.13589,0.27045,0.16462,0.11884,0.07874,1.31196,2.77768,1.1569,0.002872,0.002872,0.002872
74,2048.28,1.26784,1.53775,1.15077,0.33722,0.16979,0.12963,0.08778,1.27573,2.65772,1.13646,0.002773,0.002773,0.002773
75,2075.98,1.24937,1.50809,1.14999,0.31841,0.1636,0.14461,0.10314,1.24395,2.6156,1.13556,0.002674,0.002674,0.002674
76,2104.85,1.24564,1.51602,1.14333,0.28996,0.17039,0.13023,0.09204,1.23879,2.70959,1.13257,0.002575,0.002575,0.002575
