epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4105.45,0.94485,0.79758,1.0076,0.60688,0.32758,0.34443,0.25366,1.16163,2.17944,1.14686,0.005842,0.005842,0.005842
44,4198.21,0.95197,0.79899,1.00414,0.56508,0.33883,0.35483,0.26126,1.14955,2.12661,1.13761,0.005743,0.005743,0.005743
45,4294.26,0.94838,0.78605,1.0052,0.55812,0.33945,0.35038,0.26017,1.15819,2.11924,1.14657,0.005644,0.005644,0.005644
46,4386.18,0.92954,0.76914,0.99471,0.60996,0.33393,0.35062,0.26125,1.13898,2.13108,1.12842,0.005545,0.005545,0.005545
47,4481.41,0.93611,0.77016,0.9957,0.61091,0.34525,0.36231,0.2691,1.13842,2.11221,1.13078,0.005446,0.005446,0.005446
48,4576.3,0.92564,0.7649,0.99761,0.62994,0.32877,0.3599,0.26659,1.14015,2.15623,1.13656,0.005347,0.005347,0.005347
49,4668.03,0.89966,0.73665,0.98226,0.60017,0.33686,0.35787,0.26718,1.13469,2.15577,1.12882,0.005248,0.005248,0.005248
50,4767.25,0.90206,0.72334,0.98589,0.61703,0.33929,0.36159,0.26986,1.13603,2.11521,1.12906,0.005149,0.005149,0.005149
51,4863.89,0.8995,0.71295,0.9843,0.63854,0.33888,0.35971,0.26929,1.10836,2.13882,1.1123,0.00505,0.00505,0.00505
52,4959,0.89991,0.7144,0.98278,0.66509,0.33896,0.37041,0.27862,1.11768,2.13542,1.12255,0.004951,0.004951,0.004951
53,5051.72,0.89237,0.70472,0.98169,0.63496,0.33683,0.37016,0.28148,1.10691,2.09736,1.10978,0.004852,0.004852,0.004852
54,5146.29,0.89516,0.6939,0.97917,0.66602,0.33846,0.36871,0.27774,1.11318,2.13033,1.11699,0.004753,0.004753,0.004753
55,5240.7,0.88052,0.68237,0.97417,0.6016,0.35369,0.36923,0.27829,1.11506,2.14196,1.12108,0.004654,0.004654,0.004654
56,5332.21,0.87697,0.68529,0.97897,0.63352,0.34634,0.37402,0.28288,1.10957,2.11257,1.12164,0.004555,0.004555,0.004555
57,5426.8,0.8826,0.67541,0.973,0.6187,0.35705,0.37531,0.28233,1.1136,2.14322,1.11681,0.004456,0.004456,0.004456
58,5521.09,0.85976,0.65523,0.96762,0.59271,0.36515,0.37818,0.2859,1.09149,2.17057,1.11011,0.004357,0.004357,0.004357
59,5612.98,0.8607,0.65576,0.9662,0.56149,0.36461,0.37494,0.28132,1.10355,2.08862,1.11463,0.004258,0.004258,0.004258
60,5707.01,0.86131,0.64797,0.96425,0.64519,0.35344,0.38192,0.28727,1.09451,2.13391,1.108,0.004159,0.004159,0.004159
61,5801.48,0.85029,0.63742,0.95885,0.59273,0.36417,0.38257,0.28682,1.09593,2.10487,1.09909,0.00406,0.00406,0.00406
62,5894.62,0.85205,0.64253,0.9674,0.65444,0.34753,0.37373,0.28052,1.10344,2.16842,1.10844,0.003961,0.003961,0.003961
63,5989.34,0.84044,0.62117,0.95635,0.66178,0.35441,0.38377,0.28865,1.11364,2.19025,1.11664,0.003862,0.003862,0.003862
64,6083.9,0.83446,0.62185,0.95846,0.64026,0.35894,0.39004,0.29355,1.08549,2.06037,1.10541,0.003763,0.003763,0.003763
65,6176.47,0.83202,0.61037,0.95614,0.63321,0.36477,0.3866,0.29397,1.07782,2.14693,1.09854,0.003664,0.003664,0.003664
66,6271.26,0.81601,0.59348,0.95042,0.62356,0.38038,0.39751,0.29965,1.08188,2.08958,1.09828,0.003565,0.003565,0.003565
67,6366,0.82552,0.59292,0.94538,0.62062,0.36695,0.39011,0.29579,1.07337,2.08726,1.0989,0.003466,0.003466,0.003466
68,6457.89,0.80674,0.58685,0.94137,0.64823,0.36126,0.38469,0.29492,1.06938,2.11582,1.09744,0.003367,0.003367,0.003367
69,6552.02,0.81312,0.58328,0.94972,0.66049,0.36659,0.39625,0.30107,1.08798,2.14509,1.10757,0.003268,0.003268,0.003268
70,6647.06,0.81975,0.58909,0.94842,0.64992,0.36577,0.39874,0.30224,1.07928,2.15853,1.10253,0.003169,0.003169,0.003169
71,6739.43,0.8086,0.57459,0.9471,0.64381,0.37635,0.3992,0.30457,1.06479,2.11631,1.09395,0.00307,0.00307,0.00307
72,6834.14,0.79841,0.56995,0.94343,0.67366,0.36374,0.39379,0.30017,1.05952,2.15152,1.08308,0.002971,0.002971,0.002971
73,6928.11,0.78818,0.56316,0.94116,0.70914,0.35783,0.40145,0.30822,1.04655,2.11702,1.08114,0.002872,0.002872,0.002872
74,7019.86,0.78649,0.54903,0.93596,0.66135,0.36907,0.39844,0.30421,1.05968,2.09895,1.09355,0.002773,0.002773,0.002773
75,7113.71,0.7813,0.54536,0.93693,0.70086,0.36715,0.40066,0.30455,1.06677,2.11761,1.10238,0.002674,0.002674,0.002674
76,7207.65,0.77962,0.54641,0.93516,0.6624,0.37455,0.40332,0.3095,1.04392,2.10126,1.08306,0.002575,0.002575,0.002575
77,7299.77,0.76381,0.54002,0.933,0.64015,0.37563,0.40329,0.30884,1.06508,2.11515,1.09318,0.002476,0.002476,0.002476
78,7394.33,0.76531,0.53523,0.93397,0.66496,0.36557,0.39906,0.3063,1.05251,2.11257,1.09126,0.002377,0.002377,0.002377
79,7488.25,0.76013,0.52901,0.92937,0.71882,0.36235,0.40519,0.31094,1.05846,2.11505,1.09481,0.002278,0.002278,0.002278
80,7580.15,0.75626,0.52501,0.92782,0.64919,0.37459,0.40369,0.30856,1.06219,2.13036,1.09975,0.002179,0.002179,0.002179
81,7673.76,0.75918,0.5217,0.92636,0.72355,0.36226,0.40681,0.31139,1.04743,2.10838,1.08587,0.00208,0.00208,0.00208
82,7764.5,0.75288,0.51335,0.92618,0.67841,0.36885,0.40604,0.31221,1.05039,2.09769,1.0866,0.001981,0.001981,0.001981
83,7858.46,0.74399,0.51076,0.92057,0.68694,0.3752,0.40901,0.31615,1.04791,2.11605,1.08802,0.001882,0.001882,0.001882
84,7952.06,0.73526,0.50419,0.92475,0.69347,0.36944,0.41054,0.31855,1.03967,2.10216,1.0784,0.001783,0.001783,0.001783
85,8042.5,0.74178,0.50276,0.92775,0.68604,0.37792,0.41426,0.31865,1.04272,2.13586,1.08528,0.001684,0.001684,0.001684
86,8137.44,0.72712,0.49085,0.9139,0.68051,0.37744,0.41458,0.31878,1.0503,2.1488,1.08338,0.001585,0.001585,0.001585
87,8228.63,0.72988,0.49237,0.91679,0.69749,0.37148,0.40847,0.31747,1.04264,2.15212,1.08403,0.001486,0.001486,0.001486
88,8322.56,0.72146,0.4895,0.91493,0.69736,0.36725,0.40621,0.31393,1.04494,2.15806,1.08439,0.001387,0.001387,0.001387
89,8417.13,0.72057,0.48472,0.91412,0.68016,0.37214,0.41157,0.31833,1.04182,2.15492,1.08267,0.001288,0.001288,0.001288
90,8507.75,0.71484,0.48186,0.91123,0.68062,0.37502,0.4075,0.31559,1.04153,2.18406,1.08019,0.001189,0.001189,0.001189
91,8604.26,0.67035,0.41771,0.86525,0.67755,0.37485,0.40382,0.31184,1.04851,2.22226,1.08676,0.00109,0.00109,0.00109
92,8699.66,0.65672,0.4042,0.86268,0.66684,0.37807,0.4116,0.31875,1.0442,2.19453,1.08964,0.000991,0.000991,0.000991
93,8790.03,0.64798,0.3934,0.86044,0.6767,0.37863,0.41545,0.32118,1.04628,2.18345,1.09016,0.000892,0.000892,0.000892
94,8884.44,0.6457,0.38596,0.85875,0.71403,0.37468,0.41765,0.32214,1.03935,2.18973,1.08604,0.000793,0.000793,0.000793
95,8976.08,0.6404,0.38358,0.86197,0.7175,0.3764,0.4165,0.3234,1.03759,2.19704,1.08726,0.000694,0.000694,0.000694
96,9070.43,0.63623,0.3823,0.85896,0.69071,0.38007,0.41732,0.32356,1.03486,2.18875,1.08083,0.000595,0.000595,0.000595
97,9164.12,0.62456,0.37629,0.85689,0.66664,0.38715,0.4172,0.32414,1.02567,2.18041,1.07766,0.000496,0.000496,0.000496
98,9257.43,0.62412,0.37098,0.85307,0.66916,0.38848,0.41893,0.32425,1.02677,2.17907,1.07743,0.000397,0.000397,0.000397
99,9348.5,0.6207,0.37107,0.8585,0.64137,0.39758,0.42086,0.32609,1.02782,2.1699,1.0794,0.000298,0.000298,0.000298
100,9442.56,0.61764,0.3655,0.85073,0.64901,0.39496,0.42274,0.32788,1.02937,2.16902,1.0789,0.000199,0.000199,0.000199
